id,product_sku,brand_id,name,description,price,sub_category_id,created_at,updated_at,is_active
1,MSI Gaming Titan 18 HX AI A2XWJG-622VN,1,MSI Gaming Titan 18 HX AI A2XWJG-622VN Ultra 9 285HX,"Laptop MSI Gaming Titan 18 HX AI A2XWJG-622VN với màn hình 18"" MiniLED, tản nhiệt buồng hơi siêu mát, bàn phím cơ Cherry MX Ultra.",149990000,3,8/17/2025 13:26,8/17/2025 13:26,TRUE
2,G635LX-RW179W,2,Asus ROG Strix Scar 16 G635LX-RW179W Ultra 9 275HX,"Laptop Asus ROG Strix Scar 16 với màn hình Mini-LED, tần số quét 240Hz, 3 quạt tản nhiệt và card đồ họa GeForce RTX AI 5090.",139390000,4,8/17/2025 13:30,8/17/2025 13:30,TRUE
3,MSI Gaming Titan 18 HX AI A2XWIG-090VN,1,MSI Gaming Titan 18 HX AI A2XWIG-090VN Ultra 9 285HX,"Chuẩn AI Copilot+ PC, Màn hình 18"" MiniLED, Bàn phím cơ Cherry MX Ultra",132990000,4,8/17/2025 13:30,8/17/2025 13:30,TRUE
4,MSI Gaming Raider 18 HX AI A2XWIG-033VN,1,MSI Gaming Raider 18 HX AI A2XWIG-033VN Ultra 9 275HX,"Chuẩn AI Copilot+ PC, Màn hình 18"" MiniLED, Tản nhiệt Cooler Boost 5, Trả góp 0%",115990000,4,8/17/2025 13:31,8/17/2025 13:31,TRUE
5,SKU-B87CBA0C,3,MacBook Pro 16 M4 Max 2024 16CPU/40GPU/48GB/1TB,"Chip M4 Max đẳng cấp nhất, pin dài đến 24 tiếng, siêu mỏng, màn hình sáng khó tin.",102490000,5,8/17/2025 13:31,8/17/2025 13:31,TRUE
6,83F5008WVN,4,Lenovo Gaming Legion Pro 7 16IAX10H Ultra 9 275HX,"Màn hình sáng, 500 nits, Hỗ trợ Mux Switch, Tần số quét 240Hz",88990000,4,8/17/2025 13:32,8/17/2025 13:32,TRUE
7,SKU-CF3357AB,3,MacBook Pro 16 M4 Pro 2024 14CPU/20GPU/48GB/512GB,"Chip M4 Pro, chuyên nghiệp, pin dài đến 24 tiếng, siêu mỏng, màn hình sáng",74990000,5,8/17/2025 13:32,8/17/2025 13:32,TRUE
8,GE68 HX 14VHG-646VN,1,MSI Gaming Raider GE68 HX 14VHG-646VN i9-14900HX,Laptop MSI Gaming Raider GE68 HX 14VHG-646VN i9-14900HX với công nghệ OverBoost Ultra và tản nhiệt Cooler Boost 5.,73990000,4,8/17/2025 13:32,8/17/2025 13:32,TRUE
9,SKU-FECDE2DB,3,MacBook Pro 16 M4 Pro 2024 14CPU/20GPU/24GB/512GB,"Chip M4 Pro, chuyên nghiệp, Pin dài đến 24 tiếng, siêu mỏng, Màn hình sáng, khó tin",64990000,5,8/17/2025 13:33,8/17/2025 13:33,TRUE
10,MSI Gaming Vector 16 HX AI A2XWIG-062VN,1,MSI Gaming Vector 16 HX AI A2XWIG-062VN Ultra 9 275HX,"Chuẩn AI Copilot+ PC, Tản nhiệt Cooler Boost 5, Thunderbolt 5 siêu tốc, Trả góp 0%",62990000,4,8/17/2025 13:33,8/17/2025 13:33,TRUE
11,A16 AI+ A3XVGG-208VN,1,MSI Gaming Stealth A16 AI+ A3XVGG-208VN Ryzen AI 9 HX 370,"Laptop gaming với Ryzen AI 9 HX 370, GeForce RTX AI 4070, vỏ kim loại, chuẩn AI Copilot+ PC",59990000,4,8/17/2025 13:33,8/17/2025 13:33,TRUE
12,21NX003BVN,4,Lenovo ThinkPad X1 Carbon Gen 13 Ultra 7 255H,"Laptop Lenovo ThinkPad X1 Carbon Gen 13 với màn hình 2.8K OLED, Windows 11 Pro, bảo hành 3 năm, trả góp 0%.",58990000,5,8/17/2025 13:34,8/17/2025 13:34,TRUE
13,SKU-69925822,3,MacBook Pro 14 M4 Pro 2024 14CPU/20GPU/24GB/1TB,"Chip M4 Pro, chuyên nghiệp, Pin dài đến 24 tiếng, siêu mỏng, Màn hình sáng, khó tin.",58890000,5,8/17/2025 13:34,8/17/2025 13:34,TRUE
14,PHN14-51-96HG,5,Acer Predator Helios Neo 14 Gaming PHN14-51-96HG Ultra 9 185H,"Laptop Acer Predator Helios Neo 14 Gaming trang bị card đồ họa GeForce RTX AI 4070, tản nhiệt cánh quạt 3D AeroBlade 5, bảo hành nhanh 3 ngày, trả góp 0%.",56990000,4,8/17/2025 13:34,8/17/2025 13:34,TRUE
15,SKU-B40B3067,3,MacBook Pro 14 2023 M3 Pro 12 CPU/18 GPU/18GB/1TB,"MacBook Pro 14 inch với chip Apple M3 Pro, màn hình Liquid Retina XDR, hỗ trợ dò tia phần cứng.",56990000,5,8/17/2025 13:35,8/17/2025 13:35,TRUE
16,83F3002GVN,4,Lenovo Gaming Legion Pro 5 16IAX10 Ultra 9 275HX,"Tản nhiệt Legion, Coldfront Hyper, Legion AI Engine+",55490000,4,8/17/2025 13:35,8/17/2025 13:35,TRUE
17,GE68HX 13VF-050VN,1,MSI Gaming Raider GE68HX 13VF-050VN i7-13700HX,Laptop MSI Gaming Raider GE68HX với công nghệ OverBoost Ultra và tản nhiệt Cooler Boost 5,53990000,4,8/17/2025 13:36,8/17/2025 13:36,TRUE
18,21QA006LVN,4,Lenovo ThinkPad X9-14 Gen 1 Ultra 7 258V,"Laptop Lenovo ThinkPad X9-14 Gen 1 với màn hình 2.8K OLED, bảo hành 3 năm, trả góp 0%.",53990000,5,8/17/2025 13:36,8/17/2025 13:36,TRUE
19,UX8406CA-PZ109WS,2,Asus Zenbook Duo OLED UX8406CA-PZ109WS Ultra 9 285H,"Màn hình cảm ứng 2.8K OLED, tần số quét 120 Hz, tặng Office Home 2024.",52490000,5,8/17/2025 13:36,8/17/2025 13:36,TRUE
20,SFX14-72G-79UW,5,Acer Swift X AI SFX14-72G-79UW Ultra 7 155H,"Laptop Acer Swift X AI trang bị GeForce RTX AI 4070, màn hình 2.8K OLED, bảo hành nhanh, trả góp 0%, tặng Balo Gaming SUV.",52490000,6,8/17/2025 13:37,8/17/2025 13:37,TRUE
21,83F0003BVN,4,Lenovo Gaming Legion 5 15IAX10 U7 255HX,"Laptop gaming Lenovo Gaming Legion 5 15IAX10 U7 255HX với RTX 5070, chuẩn AI Copilot+ PC, tặng Office Home 2024.",51990000,4,8/17/2025 13:37,8/17/2025 13:37,TRUE
